Model,mAP50,Precision,Recall,Latency_ms,FPS
YOLOv8n (COCO baseline),0.0141,0.0274,0.011,8.92,112.1
YOLOv8n (Fine-tuned drone),0.9668,0.9249,0.9504,8.55,116.9
